INDEX,ADDRESS,ADMINISTRATOR,CITY,FACILITY_TYPE,NAME,PHONE,ST,ZIP,OWNER,lat,long
203,235 South Richardson Dr,Melissa Creekmore,Somerset,Assisted Living Communities,The Crestview Assisted Living,(606) 678-8927,KY,42501,N/A,37.08891586,-84.60837244
204,7504 Westport Road,Jomiya Coleman,Louisville,Assisted Living Communities,The Episcopal Church Home,(502) 736-7800,KY,40222,N/A,38.27132721,-85.61370124
205,7504 Westport Rd,,Louisville,Assisted Living Communities,The Episcopal Church Home,(502) 555-5555,KY,40222,N/A,38.27132721,-85.61370124
206,200 Brookside Drive,Sara Shaw,Louisville,Assisted Living Communities,The Forum At Brookside,(502) 245-3048,KY,40243,N/A,38.24957234,-85.55275691
207,84 Utterback Road,Annita Peeler,Murray,Assisted Living Communities,The Gardens At Hickory Woods,(270) 759-8700,KY,42071,N/A,36.63904278,-88.31090824
208,9300 Civic Way,Kelsey Hill,Prospect,Assisted Living Communities,The Grand Senior Living,(502) 200-8039,KY,40059,N/A,38.32050489,-85.56711199
209,9300 Civic Way,,Prospect,Assisted Living Communities,The Grand Senior Living,(502) 233-3855,KY,40059,N/A,38.32050489,-85.56711199
210,101 Sexton Way ,Tonya Cox,Midway,Assisted Living Communities,The Home Place At Midway,(859) 846-4663,KY,40347,N/A,38.1402227,-84.6783212
211,101 Sexton Way,Tonya Cox,Midway,Assisted Living Communities,The Home Place At Midway,(859) 846-4663,KY,40347,N/A,38.1402227,-84.6783212
212,105 Fairgrounds Rd,Erin Boyken,Hardinsburg,Assisted Living Communities,The Home Place Of Hardinsburg,(270) 617-1325,KY,40143,N/A,37.76836506,-86.44186882
213,101 Sexton Way,,Midway,Assisted Living Communities,The Homplace At Midway,(859) 846-4663,KY,40347,N/A,38.1402227,-84.6783212
214,2265 Olivet Church Rd,Samantha Mcmanus,Avondale,Assisted Living Communities,The Lakes Of Paducah ,(270) 448-7777,KY,42001,N/A,37.05960173,-88.70590786
215,225 Ruccio Way,Chase Williams,Lexington,Assisted Living Communities,The Lantern At Morning Pointe Alz & Memory Care,(859) 309-4867,KY,40503,N/A,37.99575536,-84.52892241
216,4701 South Hurstbourne Parkway,Amber Perry,Louisville,Assisted Living Communities,The Lantern At Morning Pointe Alzheimer'S & Memory,(502) 212-5199,KY,40291,N/A,38.18098249,-85.60690164
217,1063 Addington Dr,Cheryl Stephens,Russell,Assisted Living Communities,The Lantern At Morning Pointe Alzheimer'S And Memo,(606) 824-9248,KY,41169,N/A,38.5069784,-82.68185436
218,66 C Michael Davenport Boulevard,Kim Champagne,Frankfort,Assisted Living Communities,The Lantern At Morning Pointe Of Frankfort,(502) 226-7118,KY,40601,N/A,38.16125576,-84.91902403
219,13700 English Villa Drive,Matthew Jones,Louisville,Assisted Living Communities,The Legacy At English Station,(502) 254-2361,KY,40245,N/A,38.24049481,-85.49851697
220,100 Windsor Path,Lisa Shine,Georgetown,Assisted Living Communities,The Meadows At Windsor Gardens,(502) 570-0540,KY,40324,N/A,38.18422295,-84.55702429
221,4190 Lafayette Rd,Donna Frank,Hopkinsville,Assisted Living Communities,The Neighborhood At Hopkinsville,(270) 885-0220,KY,42240,N/A,36.82229434,-87.50440644
222,1300 Elmdale Rd,,Paducah,Assisted Living Communities,The Neighborhood At Paducah,(270) 534-9173,KY,42003,N/A,37.04553973,-88.64602668
223,1700 Elmdale Rd,Deann Metcalf,Paducah,Assisted Living Communities,The Neighborhood At Paducah,(270) 534-9173,KY,42003,N/A,37.04145095,-88.6466296
224,100 Neighborly Way,Sahron Reynolds,Somerset,Assisted Living Communities,The Neighborhood Of Somerset,(606) 677-0166,KY,42503,N/A,37.05403,-84.63205
225,1010 Richwood Way,Kathy Rice,La Grange,Assisted Living Communities,The Oaks Assisted Living,(502) 222-3552,KY,40031,N/A,38.39379999,-85.3706711
226,137 Stagecoach Rd,Alex Strein,Madisonville,Assisted Living Communities,The Paragon Of Madisonville,(270) 824-9006,KY,42431,N/A,37.36615166,-87.49731388
227,711 Frankfort Rd,Janie Cunningham,Shelbyville,Assisted Living Communities,The Pillars At Maple Grove,(502) 633-3486,KY,40065,N/A,38.2120996,-85.19573993
228,7341 E Alexandria Pike,Gretchen Aichele,Alexandria,Assisted Living Communities,The Seasons At Alexandria,(859) 694-4450,KY,41001,N/A,38.98489966,-84.39780829
229,7341 E Alxandria Pike ,Reva Stroud,Alexandria,Assisted Living Communities,The Seasons At Alexandria,(859) 760-7602,KY,41001,N/A,38.98489966,-84.39780829
230,1760 Plantside Dr,Dennis Stamey-Lucas,Jeffersontown,Assisted Living Communities,The Spring House At Louisville,(404) 931-6807,KY,40299,N/A,38.2211609,-85.57616132
231,1760 Plantside Drive,Jason Kirby,Louisville,Assisted Living Communities,The Spring House At Louisville,(502) 452-2664,KY,40299,N/A,38.2211609,-85.57616132
232,2000 East Peak Rd,,La Grange,Assisted Living Communities,The Springs At Oldham Reserve,(502) 516-3176,KY,40031,N/A,38.3835809,-85.3802018
233,2000 East Peak Road,Sean Barney-Mccoy,La Grange,Assisted Living Communities,The Springs At Oldham Reserve,(502) 516-3176,KY,40031,N/A,38.3835809,-85.3802018
234,2950 Turkey Foot Rd,,Edgewood,Assisted Living Communities,The Summit Of Edgewood,(859) 426-1888,KY,41017,N/A,39.01716364,-84.57576141
235,2950 Turkeyfoot Road,Casey Lang,Edgewood,Assisted Living Communities,The Summit Of Edgewood,(859) 426-1888,KY,41017,N/A,39.01716364,-84.57576141
236,702 Garrard Street,Carrie Vanderzee,Covington,Assisted Living Communities,The Victorian At Riverside,(859) 431-6913,KY,41011,N/A,39.08411017,-84.50518615
237,1376 Silver Springs Drive,Adam Bailey,Lexington,Assisted Living Communities,The Willows At Citation,(859) 277-0320,KY,40511,N/A,38.08257615,-84.48372004
238,1376 Silver Spring ,,Lexington,Assisted Living Communities,The Willows At Citation,(859) 277-0320,KY,40511,N/A,38.08257615,-84.48372004
239,2710 Man O War Blvd,Elizabeth Blair,Lexington,Assisted Living Communities,The Willows At Fritz Farm,(859) 273-0088,KY,40515,N/A,37.97577597,-84.52928076
240,2521 Old Rosebud Road,Samuel Frazier,Lexington,Assisted Living Communities,The Willows At Hamburg,(859) 543-0337,KY,40509,N/A,38.02817644,-84.43135399
241,3101 North Hurstbourne Parkway,Carla Sieckert,Louisville,Assisted Living Communities,The Willows At Springhurst,(502) 426-5531,KY,40241,N/A,38.29034638,-85.57436905
242,3001 N Hurstbourne Parkway,Carla Sieckert,Louisville,Assisted Living Communities,The Willows At Springhurst,(502) 426-5531,KY,40241,N/A,38.28953663,-85.57372685
243,10210 Long Home Rd,Rebeka Nicholas,Fern Creek,Assisted Living Communities,Traditions At Beaumont,(502) 231-4522,KY,40291,N/A,38.12192787,-85.57552885
244,10210 Long Home Rd,,Fern Creek,Assisted Living Communities,Traditions At Beaumont,(502) 231-4522,KY,40291,N/A,38.12192787,-85.57552885
245,2121 Argillite Rd,Nancy Bailey,Flatwoods,Assisted Living Communities,Trinity Station Retirement Community,(606) 833-1111,KY,41139,N/A,38.52020106,-82.71996173
246,3525 Ephraim Mcdowell Dr,Scott Mccoy,Louisville,Assisted Living Communities,Twin Brook Assisted Living,(502) 452-6330,KY,40205,N/A,38.22307917,-85.65220889
247,98 Adams St,Paige Lucas-Jamiel,New Castle,Assisted Living Communities,Twin Oaks Assisted Living,(502) 845-4136,KY,40050,N/A,38.43674556,-85.1744902
248,212 West 12Th St,Kathey Young,London,Assisted Living Communities,Village Heights,(606) 864-4155,KY,40741,N/A,37.1324222,-84.09131392
249,101 Village Way,Farrah Mattingly,Calvary,Assisted Living Communities,Village Of Lebanon Assisted Living,(270) 692-9000,KY,40033,N/A,37.56155551,-85.26899426
250,133 Heartland Dr,Sherry Gozzard,Elizabethtown,Assisted Living Communities,Vitality Living Elizabethtown,(270) 360-8001,KY,42701,N/A,37.71332263,-85.87453433
251,133 Heartland Dr,,Elizabethtown,Assisted Living Communities,Vitality Living Elizabethtown,(502) 555-1818,KY,42701,N/A,37.71332263,-85.87453433
252,4501 Springdale Rd,Donna Young,Louisville,Assisted Living Communities,Vitality Living Springdale,(502) 412-0222,KY,40241,N/A,38.3112107,-85.58477558
253,4501 Springdale Rd,Donna Young,Louisville,Assisted Living Communities,Vitality Living Springdale,(502) 412-0222,KY,40241,N/A,38.3112107,-85.58477558
254,120 S Hubbards Ln,Mark Witt,Louisville,Assisted Living Communities,Vitality Living St Matthews,(502) 896-1759,KY,40207,N/A,38.25123902,-85.64011207
255,3451  S Hurstbourne Parkway,Amy Ellis,Jeffersontown,Assisted Living Communities,Vitality Living Stoney Brook,(502) 499-1393,KY,40299,N/A,38.19705588,-85.60328966
256,3451 S Hurstbourne Pkwy,,Jeffersontown,Assisted Living Communities,Vitality Living Stoney Brook,(502) 499-1393,KY,40299,N/A,38.19705588,-85.60328966
257,100 Davco Drive,,Danville,Assisted Living Communities,Walkers Trail Senior Living,(859) 236-5383,KY,40422,N/A,37.6408143,-84.8040558
258,100 Davco Drive,Cynthia Jones,Danville,Assisted Living Communities,Walker'S Trail Senior Living,(859) 236-5383,KY,40422,N/A,37.6408143,-84.8040558
259,4247 Westport Road,Christina Bosemer,Louisville,Assisted Living Communities,Westport Place Health Campus,(502) 893-3033,KY,40207,N/A,38.26288565,-85.63662661
260,108 Diecks Drive,Angelique Champ,Elizabethtown,Assisted Living Communities,Willow Creek,(270) 765-4414,KY,42701,N/A,37.70936611,-85.8721942
261,100 Windsor Path,Dutin Downs,Georgetown,Assisted Living Communities,Windsor Gardens Of Georgetown,(502) 570-0540,KY,40324,N/A,38.18422295,-84.55702429
262,101 Isaac Greer Ct,Shannon Huffman Lainhar,Bardstown,Assisted Living Communities,Windsor Gardens Senior Living,(502) 349-6214,KY,40004,N/A,37.82600981,-85.47554317
263,11203 Main Street,Rocco Massey,Martin,Critical Access Hospital,Arh Our Lady Of The Way,(606) 285-6400,KY,41649,"Arh Mary Breckinridge Health Services, Inc.",37.57848204,-82.75081503
264,80 Hospital Drive,Beau Masterson,Barbourville,Critical Access Hospital,Barbourville Arh Hospital,(606) 546-4175,KY,40906,"Arh Mary Breckinridge Health Services, Inc.",36.85221241,-83.87045115
265,360 Amsden Avenue,David Steitz,Versailles,Critical Access Hospital,Bluegrass Community Hospital,(859) 873-3111,KY,40383,"Woodford Hospital, Llc",38.05478844,-84.72438692
266,1011 Old Highway 60,Angela Portman,Hardinsburg,Critical Access Hospital,Breckinridge Memorial Hospital,(270) 756-7000,KY,40143,"Breckinridge Health, Inc.",37.76680334,-86.44160522
267,100 Medical Center Drive,Dan Odegaard,Princeton,Critical Access Hospital,Caldwell Medical Center,(270) 365-0300,KY,42445,"Caldwell County Hospital, Inc.",37.1139275,-87.9091068
268,309 Eleventh Street,"Jennifer Liter, Dnp, Rn",Carrollton,Critical Access Hospital,Carroll County Memorial Hospital,(502) 732-4321,KY,41008,Ccmh Corporation,38.68040046,-85.16930509
269,187 Wolford Avenue,Rex Tungate,Liberty,Critical Access Hospital,Casey County Hospital,(606) 787-6275,KY,42539,Casey County Hospital District,37.31788616,-84.93174117
270,305 Estill Street,John Yanes,Berea,Critical Access Hospital,Chi Saint Joseph Berea Nf,(859) 986-6500,KY,40403,"Saint Joseph Health System, Inc.",37.57362211,-84.28736322
271,299 Glasgow Road,Richard Neikirk,Burkesville,Critical Access Hospital,Cumberland County Hospital,(270) 864-2511,KY,42717,"Cumberland County Hospital Association, Inc.",36.79102026,-85.40905955
272,4604 Us Highway 60 West,Amber Powell,Morganfield,Critical Access Hospital,Deaconess Union County Hospital,(270) 389-5000,KY,42437,"Deaconess Union County Hospital, Inc.",37.62676339,-87.94367878
273,110 Metker Trail,Lynne Lynn,Stanford,Critical Access Hospital,Ephraim Mcdowell Fort Logan Hospital,(606) 365-4788,KY,40484,"Emhfl, Inc.",37.54352134,-84.65354451
274,290 Industrial Park Road,Rex A. Tungate,Greensburg,Critical Access Hospital,Jane Todd Crawford Hospital,(270) 932-4211,KY,42743,"Jane Todd Crawford Memorial Hospital, Inc.",37.2677227,-85.49190902
275,540 Jett Drive,Susie Morgan,Jackson,Critical Access Hospital,Kentucky River Medical Center,(606) 666-6000,KY,41339,Jackson Hospital Corporation,37.5658266,-83.3692111
276,131 Hospital Drive,Shane Whittington,Salem,Critical Access Hospital,"Livingston Hospital And Healthcare Services, Inc",(270) 988-2299,KY,42078,"Livingston Hospital & Healthcare Services, Inc.",37.26311667,-88.22923482
277,60 Mercy Court,Trena Stocker,Irvine,Critical Access Hospital,Marcum & Wallace Memorial Hospital,(606) 723-2115,KY,40336,"Mercy Health - Marcum & Wallace Hospital, Llc",37.70588885,-83.97783976
278,615 Old Symsonia Road,David Fuqua,Benton,Critical Access Hospital,Marshall County Hospital,(270) 527-4800,KY,42025,Marshall Co. Public Hosp. Dist. Corp.,36.86556988,-88.36491048
279,130 Kate Ireland Drive,Mallie Noble,Hyden,Critical Access Hospital,Mary Breckinridge Arh Hospital,(606) 672-2901,KY,41749,"Arh Mary Breckinridge Health Services, Inc.",37.16384974,-83.37842572
280,9879 Kentucky Route 122,Danita Hampton,Mc Dowell,Critical Access Hospital,Mcdowell Arh Hospital,(606) 377-3400,KY,41647,"Appalachian Regional Healthcare, Inc.",-82.74754672005707,-82.74754672005707
281,476 Liberty Road,Allie Archer,West Liberty,Critical Access Hospital,Morgan County Arh Hospital,(606) 743-3186,KY,41472,"Appalachian Regional Healthcare, Inc.",37.9218424,-83.26628028
282,1211 Old Main Street,Shellie Shouse,Hartford,Critical Access Hospital,Ohio County Hospital,(270) 298-7411,KY,42347,Ohio County Hospital Corporation,37.44772974,-86.89709693
283,153 Dowell Road,Scott Thompson,Russell Springs,Critical Access Hospital,Russell County Hospital,(270) 866-4141,KY,42642,"Russell Co Hosp Dist Health Fac Corporation, Inc.",37.05743689,-85.06696191
284,238 Barnes Road,Missy Miles,Williamstown,Critical Access Hospital,St Elizabeth Grant,(859) 824-8105,KY,41097,"St. Elizabeth Medical Center, Inc.",38.6480988,-84.5774451
285,464 Linden Avenue,Lynne Lynn,Harrodsburg,Critical Access Hospital,The James B Haggin Memorial Hospital,(859) 239-3800,KY,40330,"The James B. Haggin Memorial Hospital, Inc.",37.75655271,-84.84828339
286,723 Burkesville Road,Alan Alexander,Albany,Critical Access Hospital,The Medical Center At Albany,(606) 387-3651,KY,42602,Bowling Green-Warren Co Community Hsp Corp,36.69775198,-85.14394779
287,1501 South Dixie Street,Alan Alexander,Horse Cave,Critical Access Hospital,The Medical Center At Caverna,(270) 786-2191,KY,42749,Bowling Green - Warren County Community Hospital C,37.16037144,-85.92317756
288,1100 Brookhaven Road,Annette Runyon,Franklin,Critical Access Hospital,The Medical Center At Franklin,(270) 598-4800,KY,42135,Bowling Green-Warren Co Community Hsp Corp,36.7027878,-86.5759788
289,456 Burnley Road,Eric Hagan,Scottsville,Critical Access Hospital,The Medical Center At Scottsville,(270) 622-2800,KY,42164,Bowling Green Warren County Community Hospital Cor,36.76093277,-86.21638001
290,254 Main Street,John Sumner,Cadiz,Critical Access Hospital,Trigg County Hospital,(270) 522-3215,KY,42211,"Trigg County Hospital, Inc.",36.86707926,-87.82203258
291,166 Hospital Street,Joe Murrell,Monticello,Critical Access Hospital,Wayne County Hospital,(606) 348-9343,KY,42633,Wayne County Hospital Inc,36.820196,-84.86816427
292,625 East 80 Drive,Rita Hadley,Columbia,Family Care Home,Hadley Family Care Home,2703844083,KY,42728,Ms Rita Hadley,37.09741017,-85.26682723
293,122 East Shelby Street,Tammy Preston,Junction City,Family Care Home,Hall And Preston Family Care Home,8598546307,KY,40440,Tammy Preston,37.58182679,-84.78408425
294,135 Tackett Drive,Linda Wilson,Olive Hill,Family Care Home,Wilson Family Care Home,6062865194,KY,41164,Ms. Linda Lou Wilson,38.32786107,-83.11530235
295,1989 Drummond Drive,Rachel Vangu,Lexington,Family Care Home,Rachel Family Care,2073177936,KY,40511,Rachel Vangu,38.10552867,-84.50674138
296,2058 Dripping Springs Road,Linda Baker,Crab Orchard,Family Care Home,Baker Family Care Home,8597794614,KY,40419,Donald And Linda Baker,37.51030114,-84.462295
297,3175 Harmons Lick Road,Carolyn Stiles,Crab Orchard,Family Care Home,Stiles Family Care Home,8597921424,KY,40419,Ms Carolyn Stiles,37.52831097,-84.46226313
298,132 North Walnut Street,Elizabeth Cooper,Upton,Family Care Home,Cooper Fch,2705075066,KY,42784,Elizabeth Cooper,37.46548604,-85.8936516
299,71 Holman Ave,Patricia Sanders,Elizabethtown,Family Care Home,Sanders Family Care Home,2703174249,KY,42701,,37.71721895,-85.81864037
300,82 Jackson Cemetery Road,Nancy Jackson,Annville,Family Care Home,Jackson Family Care Home,6063642614,KY,40402,Ms Nancy Jackson,37.31784776,-83.92312766
301,2201 Osage Avenue,Anita Redmond,Louisville,Family Care Home,Anita'S Family Care Home,5023109036,KY,40210,,38.23939095,-85.7900036
302,808 River Crest Drive,Gwendolyn Bronson,Louisville,Family Care Home,Bronson Family Care Home,5025436297,KY,40206,Gwendolyn Bronson,38.26826251,-85.70024204
303,4211 Stone Lakes Drive,Treva Donnell,Louisville,Family Care Home,Donnell Family Care Home,5025931015,KY,40299,Treva W. Donnell,38.1832987,-85.51410323
304,2231 Farnsley Road,Carrie Drake,Louisville,Family Care Home,Drake Fch,5027781512,KY,40216,Carrie Drake,38.20228259,-85.81982069
305,11314 Angelina Road,Emma Alexander,Louisville,Family Care Home,E C Alexander Family Care Home,5029570366,KY,40229,Emma Alexander,38.07787695,-85.69251705
306,3302 Garland Avenue,Glennis Smith,Louisville,Family Care Home,Green Family Care Home,5026433519,KY,40211,Glennis Smith,38.24566023,-85.80754496
307,775 Tolley Road,Mildred Lewis,Waynesburg,Family Care Home,Lewis Family Care Home,6063657991,KY,40489,Ms Mildred Lewis,37.34938213,-84.62115025
308,407 Center Street,Beulah Carter,Berea,Family Care Home,Carter Family Care Home,8599869201,KY,40403,Ms Beulah Carter,37.57479139,-84.28211961
309,3211 Blackjack Road,Lekesha Matthews,Franklin,Family Care Home,Caring With A Smile Family Care Home,2702535000,KY,42134,"Caring With A Smile Home Care, Llc",36.76154384,-86.53009538
310,2480 Old Lebanon Road,Shirley Phillips,Campbellsville,Family Care Home,Bengal Family Care Home,2708494051,KY,42718,Shirley Ann Phillips,37.37554773,-85.34442967
311,901 Wellness Way,Neil Thornbury,Columbia,Hospital,T J Health Columbia,270-384-4753,KY,42728,T J Health Columbia Inc. ,-85.29462947652976,-85.29462947652976
312,456 Burnley Road,Eric Hagan,Scottsville,Hospital,The Medical Center At Scottsville,270-622-2800,KY,42164,B G Warren County Comm  Hosp Corp,36.76093277,-86.21638001
313,1301 North Race Street,Neil Thornbury,Glasgow,Hospital,T J Samson Community Hospital,270-651-4159,KY,42141,"T J Samson Community Hospital, Inc.",37.01141717,-85.90387873
314,3600 W Cumberland Ave,Michael Slusher,Middlesboro,Hospital,Middlesboro Arh Hospital,606-242-1100,KY,40965,Appalachian Regional Healthcare Inc,36.60522824,-83.74121519
315,850 Riverview Ave,Kevin Couch,Pineville,Hospital,"Pineville Community Health Center, Inc",606-337-3051,KY,40977,"Pineville Medical Center, Llc",36.76325237,-83.70773394
316,5940 Merchant Street,Stuart Locke,Florence,Hospital,Gateway Rehabilitation Hospital ,859-426-2400,KY,41042,Vibra Rehabilitation Hospital Of Florence Llc,39.0077756,-84.65649292
317,4900 Houston Road,Dr. Latonya Brown,Florence,Hospital,St. Elizabeth Florence,859-2121-5220,KY,41042,"Saint Elizabeth Medical Center, Inc.",39.01442745,-84.63812422
318,9 Linville Drive,Matt Smith,Paris,Hospital,Bourbon Community Hospital,859-987-3600,KY,40361,"Bourbon Community, Llc",38.22240102,-84.23828212
319,50 Recovery Drive,Tim  Robinson,Ashland,Hospital,Bellefonte Hospital And Recovery Center,(606) 744-1300,KY,41101,"Arc Health Systems, Llc",-82.6943106,-82.6943106
320,2201 Lexington Ave,Kristie Whitlatch,Ashland,Hospital,Kings Daughters Medical Center,606-408-4401,KY,41101,Ashland Hospital Corporation,38.47039288,-82.63588793
321,217 South Third Street,Daniel Mckay,Danville,Hospital,Ephraim Mcdowell Regional Medical Center,859-239-2409,KY,40422,Ephraim Mcdowell Regional Medical Center Inc,37.64409264,-84.77268723
322,540 Jett Drive,John Ballard,Jackson,Hospital,Kentucky River Medical Center,606-666-6000,KY,41339,Jackson Hospital Corporation,37.5658266,-83.3692111
323,1903 West Hebron Lane,Dorie Shelbrune,Shepherdsville,Hospital,Uofl South Hospital,502-955-3001,KY,40165,Uofl Health,38.06023329,-85.69611974
324,100 Medical Center Drive,William Baptist Health Lexington,Princeton,Hospital,Caldwell Medical Center,270-365-0300,KY,42445,"Caldwell County Hospital, Inc.",37.1139275,-87.9091068
325,803 Poplar Street,Jerome Penner,Murray,Hospital,Murray Calloway County Hospital,270-762-1100,KY,42071,Murray Calloway Co Public Hospital Corp,36.60859405,-88.30865331
326,85 North Grand Avenue,Kevin Gessner,Ft. Thomas,Hospital,St. Elizabeth Ft. Thomas,859-572-3100,KY,41075,"Saint Elizabeth Medical Center, Inc.",39.07859823,-84.46522224
327,187 Wolford Avenue,Rex Tungate,Liberty,Hospital,Casey County Hospital,606-787-6275,KY,42539,Casey Co. Hsp. District,37.31788616,-84.93174117
328,270 Walton Way,David Melear,Hopkinsville,Hospital,Cumberland Hall,270-886-1919,KY,42240,"Abs Lincs Ky, Inc.",36.7384557,-87.4681412
329,320 West 18Th Street,Eric Lee,Hopkinsville,Hospital,Jennie Stuart Medical Center Inc,270-887-0100,KY,42241,Jennie Stuart Medical Center Inc,36.86036647,-87.49539427
330,175 Hospital Drive,Aphreikah Duhaney-West,Winchester,Hospital,Clark Regional Medical Center,859-737-8559,KY,40391,"Kentucky Hospital, Llc",38.011421,-84.2164433
331,210 Marie Langdon Drive,Chris   Self,Manchester,Hospital,Adventhealth Manchester,606-598-5104,KY,40962,Memorial Hospital Inc,37.16178992,-83.7614902
332,723 Burkesville Road,Laura Belcher,Albany,Hospital,The Medical Center At Albany,606-387-6421,KY,42602,Bowling Green-Warren County Community Hospital Corporation,36.69775198,-85.14394779
333,520 West Gum Street,Shawn Bright,Marion,Hospital,Crittenden Community Hospital,270-965-5281,KY,42064,Crittenden Community Hospital Llc,37.32949153,-88.09105267
334,299 Glasgow Road,Richard Neikirk,Burkesville,Hospital,Cumberland County Hospital,270-864-2511,KY,42717,"Cumberland County Hospital Association, Inc.",36.79102026,-85.40905955
335,1201 Pleasant Valley Road,Mark Marsh ,Owensboro,Hospital,Owensboro Health Regional Hospital,270-417-2000,KY,42303,"Owensboro Health, Inc.",37.77305247,-87.06598905
336,1000 Industrial Drive,Katie Demko Day,Owensboro,Hospital,River Valley Behavioral Health,270-689-6800,KY,43202,Green River Regional Mh Mr Board Inc,37.78366079,-87.15653428
337,60 Mercy Court,Susan Starling,Irvine,Hospital,Marcum And Wallace Memorial Hospital,606-723-2115,KY,40336,"Mercy Health - Marcum & Wallace Hospital, Llc",37.70588885,-83.97783976
338,2050 Versailles Road,Jarrett 1740 Nicholasville Road,Lexington,Hospital,Cardinal Hill Rehabilitation Hospital,859-254-5701,KY,40504,Encompass Health Rehabilitation Hospital Of Cardinal Hill,38.04755636,-84.5421583
339,1350 Bull Lea Road,Lindsey Jasinski,Lexington,Hospital,Eastern State Hospital,859-246-8000,KY,40511,Commonwealth Of Kentucky,38.08426442,-84.49811841
340,150 N Eagle Creek Drive,Eric Gilliam,Lexington,Hospital,Saint Joseph East,859-967-5000,KY,40509,"Saint Joseph Health System, Inc.",38.00024736,-84.44022028
341,3050 Rio Dosa Drive,Nina Eisner,Lexington,Hospital,The Ridge Behavioral Health System,859-269-2325,KY,40509,"Uhs Of Ridge, Inc",38.00520033,-84.44167202
342,310 South Limestone Street,Timothy Slocum,Lexington,Hospital,Uk Healthcare Good Samaritan Hospital,859-323-5211,KY,40508,"University Of Kentucky, An Agency Of The Commonwealth Of Kentucky",38.04324994,-84.50137875
343,800 Rose Street,Tim Slocum,Lexington,Hospital,University Of Kentucky Hospital,859-323-5211,KY,40536,Commonwealth Of Ky,38.03283182,-84.50672128
344,55 Foundation Drive,Brian  Springate,Flemingsburg,Hospital,Fleming County Hospital,606-849-2351,KY,41041,"Fleming Medical Center, Llc",-83.75146749996101,-83.75146749996101
345,11203 Main Street,Kathy Stumbo,Martin,Hospital,Arh Our Lady Of The Way,606-285-6401,KY,41649,"Arh Mary Breckinridge Health Services, Inc. ",37.57848204,-82.75081503
346,5000 Kentucky Route 321,Tim Hatfield,Prestonsburg,Hospital,Highlands Regional Medical Center,606-886-8511,KY,41653,"Arh Tug Valley Health Services, Inc.",37.7296357,-82.7685462
347,9879 Kentucky Route 122,Danita Hampton,Mcdowell,Hospital,Mcdowell Arh Hospital,606-377-3400,KY,41647,Appalachian Regional Healthcare Inc,-82.74754672005707,-82.74754672005707
348,299 Kings Daughters Drive,Reed Hammond,Frankfort,Hospital,Frankfort Regional Medical Center,502-875-5240,KY,40601,Frankfort Hospital Inc,38.15956971,-84.90619664
349,238 Barnes Rd.,Missy Miles,Williamstown,Hospital,St. Elizabeth Grant,859-824-8240,KY,41097,St Elizabeth Medical Center Inc,38.6480988,-84.5774451
350,1099 Medical Center Circle,Dave Anderson,Mayfield,Hospital,Jackson Purchase Medical Center,270-251-4585,KY,42066,"Pinelake Regional Hospital, Llc",36.75972697,-88.65093831
351,910 Wallace Avenue,Wayne Meriwether,Leitchfield,Hospital,Owensboro Health Twin Lakes Medical Center,270-259-9400,KY,42754,"Owensboro Health Twin Lakes Regional Medical Center, Inc.",37.47330399,-86.28676713
352,290 Industrial Park Rose,Rusty Tungate,Greensburg,Hospital,Jane Todd Crawford Memorial Hospital,270-932-4211,KY,42743,"Jane Todd Crawford Memorial Hospital, Inc.",37.2677227,-85.49190902
353,913 N Dixie Avenue,Robert Ramey,Elizabethtown,Hospital,Baptist Health Hardin,270-737-5200,KY,42701,"Baptist Healthcare System, Inc.",37.710481,-85.8765886
354,134 Heartland Drive,Lori Jarboe,Elizabethtown,Hospital,Encompass Health Rehabilitation Hospital Of Lakeview,270-769-3100,KY,42701,"Encompass Health Rehabilitation Hospital Of Lakeview, Llc",37.7133887,-85.87465983
355,3909 South Wilson Road,Charles Webb,Radcliff,Hospital,Lincoln Trail Behavioral Health System,270-351-9444,KY,40160,United Health Care Of Hardin Inc,37.7886128,-85.91261742
356,81 Ball Park Road,Donald Fields,Harlan,Hospital,Harlan Arh Hospital,606-573-8100,KY,40831,Appalachian Regional Healthcare Inc,36.81013092,-83.31439943
357,1210 Kentucky Highway 36 East,Dr. Kathy Tussey,Cynthiana,Hospital,Harrison Memorial Hospital,859-234-2300,KY,41031,Harrison Memorial Hospital Inc,38.40360016,-84.31452813
358,1501 S. Dixie Street,Alan Alexander,Horse Cave,Hospital,The Medical Center At Caverna,270-786-2191,KY,42749,Bowling Green-Warren County Community Hospital Corporation,37.16037144,-85.92317756
359,1305 N Elm Street,Linda White,Henderson,Hospital,Deaconess Henderson Hospital,270-827-7700,KY,42420,Community United Methodist Hospital Inc,37.85284104,-87.58194576
360,4000 Kresge Way,"Jonathan Velez, Md",Louisville,Hospital,Baptist Health Louisville,502-897-8100,KY,40207,"Baptist Healthcare Systems, Inc.",38.23969365,-85.63778878
361,10510 Lagrange Road,Matt  Mooring,Louisville,Hospital,Central State Hospital,502-253-7045,KY,40223,Commonwealth Of Ky,38.27076615,-85.55857515
362,1313 Saint Anthony Place,Jack Nicholson,Louisville,Hospital,Kindred Hospital Louisville,502-587-0060,KY,40204,Kindred Hospitals Ltc Partnership,38.24261959,-85.73106217
