INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,ADMINISTRATOR,PHONE,OWNER
1110,CMS Provider/Clinician,Baptist Health Medical Group Inc,"1700 Nicholasville Rd, Suite 701",Lexington,KY,40503,,(859)278-0396,
1111,CMS Provider/Clinician,"Richard M. Dartt, Psc",106 Commercial Dr,Harrodsburg,KY,40330,,(859)754-3482,
1112,CMS Provider/Clinician,Summit Medical Group Inc,1640 Flossie Dr,Greendale,IN,47025,,(812)496-3285,
1113,CMS Provider/Clinician,Summit Medical Group Inc,20 W 18Th St,Covington,KY,41011,,(859)757-0717,
1114,CMS Provider/Clinician,Community Medical Associates Inc,4123 Dutchmans Ln,Louisville,KY,40207,,(nan)-,
1116,CMS Provider/Clinician,Summit Medical Group Inc,"830 Thomas More Pkwy, Suite 200A",Edgewood,KY,41017,,(859)301-8686,
1117,CMS Provider/Clinician,Southeastern Emergency Physicians Llc,1140 Lexington Rd,Georgetown,KY,40324,,(502)868-1100,
1118,CMS Provider/Clinician,"Commonwealth Anesthesia, Psc",2511 Terra Crossing Blvd,Louisville,KY,40245,,(502)589-9488,
1122,CMS Provider/Clinician,Norton Childrens Medical Group Llc,"411 E Chestnut St, St7",Louisville,KY,40202,,(502)588-3400,
1124,CMS Provider/Clinician,Baptist Health Medical Group Inc,1115 Woodland Dr,Elizabethtown,KY,42701,,(270)769-5963,
1137,CMS Provider/Clinician,Indiana Clinic Critical Care Llc,"1115 Ronald Reagan Pkwy, Suite 171",Avon,IN,46123,,(317)217-2888,
1138,CMS Provider/Clinician,"The Christ Hospital Health Network Urgent Care, Llc","1955 Dixie Hwy, Suite F",Ft Wright,KY,41011,,(859)292-9176,
1147,CMS Provider/Clinician,Ppl Therapeutic Services Pllc,130 Meadowlark Dr,Richmond,KY,40475,,(859)623-9472,
1149,CMS Provider/Clinician,"Breckinridge Health, Inc.",1011 Old Hwy 60,Hardinsburg,KY,40143,,(270)756-7000,
1152,CMS Provider/Clinician,"Emergency Physicians Of Indianapolis, Pc",1201 Hadley Rd,Mooresville,IN,46158,,(317)834-4210,
1153,CMS Provider/Clinician,"Emergency Physicians Of Indianapolis, Pc",8111 S Emerson Ave,Indianapolis,IN,46237,,(317)528-5261,
1154,CMS Provider/Clinician,"Deaconess Specialty Physicians, Inc",2200 E Parrish Ave,Owensboro,KY,42303,,(812)464-9133,
1155,CMS Provider/Clinician,Urology Of Indiana Llc,1270 N Post Rd A,Indianapolis,IN,46219,,(317)895-6095,
1158,CMS Provider/Clinician,Baptist Health Medical Group Inc,"3084 Lakecrest Cir, Suite 100",Lexington,KY,40513,,(859)219-6440,
1161,CMS Provider/Clinician,Means Adult Primary Care Clinic Of Kentucky Pllc,148 Skyview Dr,Mt Sterling,KY,40353,,(859)499-0717,
1162,CMS Provider/Clinician,Means Adult Primary Care Clinic Of Kentucky Pllc,"1145 W Lexington Ave, Suite A",Winchester,KY,40391,,(859)744-0301,
1163,CMS Provider/Clinician,Means Adult Primary Care Clinic Of Kentucky Pllc,"1011 Brandy Ln, Suite A",Richmond,KY,40475,,(859)286-7555,
1165,CMS Provider/Clinician,Community Medical Associates Inc,2949 Breckenridge Ln,Louisville,KY,40220,,(502)891-8300,
1169,CMS Provider/Clinician,Osh-In Physicians Group Pc,"6401 E Washington St, Indy Irvington Clinic",Indianapolis,IN,46219,,(317)808-7085,
1170,CMS Provider/Clinician,Johnson Memorial Health Physician Network Llc,"1155 W Jefferson St, Suite 202",Franklin,IN,46131,,(317)346-3883,
1179,CMS Provider/Clinician,Indiana University Radiology Associates Inc,2605 E Creeks Edge Dr,Bloomington,IN,47401,,(812)333-1933,
1180,CMS Provider/Clinician,Indiana University Radiology Associates Inc,500 S Landmark Ave,Bloomington,IN,47403,,(812)333-7676,
1181,CMS Provider/Clinician,Indiana University Radiology Associates Inc,550 S Landmark Ave,Bloomington,IN,47403,,(812)353-2108,
1182,CMS Provider/Clinician,Indiana University Radiology Associates Inc,1302 S Rogers St,Bloomington,IN,47403,,(812)353-2108,
1183,CMS Provider/Clinician,Indiana University Radiology Associates Inc,1520 S Liberty Dr,Bloomington,IN,47403,,(812)676-4345,
1184,CMS Provider/Clinician,Indiana University Radiology Associates Inc,560 W Longest St,Paoli,IN,47454,,(812)723-7437,
1185,CMS Provider/Clinician,Indiana University Radiology Associates Inc,"642 W Hospital Rd, Iu Health Paoli Hospital",Paoli,IN,47454,,(812)723-2811,
1186,CMS Provider/Clinician,Indiana University Radiology Associates Inc,926 W State Hwy 46,Spencer,IN,47460,,(812)829-3346,
1189,CMS Provider/Clinician,Indiana University Radiology Associates Inc,1001 W 10Th St,Indianapolis,IN,46202,,(317)630-7382,
1190,CMS Provider/Clinician,American Current Care Pa,"1311 N Shadeland Ave E-J, Concentra Urgent Care",Indianapolis,IN,46219,,(317)352-0933,
1191,CMS Provider/Clinician,Arthritis And Osteoporosis Center Pllc,504 Tenikat St,Danville,KY,40422,,(859)623-5500,
1192,CMS Provider/Clinician,Arthritis And Osteoporosis Center Pllc,"2130 Lexington Rd, Suite A B",Richmond,KY,40475,,(859)623-5500,
1193,CMS Provider/Clinician,Arthritis And Osteoporosis Center Pllc,3101 Wall St,Lexington,KY,40513,,(859)623-5500,
1194,CMS Provider/Clinician,Monumental Behavioral Health Inc,"1201 N Post Rd, Suite C",Indianapolis,IN,46219,,(317)405-8833,
1196,CMS Provider/Clinician,"University Family Physicians, Inc.",550 University Blvd,Indianapolis,IN,46202,,(nan)-,
1197,CMS Provider/Clinician,"Bluegrass Primary Health Care Center, Inc.","1306 Versailles Rd, Suite 120",Lexington,KY,40504,,(859)259-2635,
1198,CMS Provider/Clinician,X-Ray Associates Of Louisville Psc,4000 Kresge Way,Louisville,KY,40207,,(502)897-8121,
1203,CMS Provider/Clinician,Ladine Podiatry Pc,3221 S Memorial Dr C,New Castle,IN,47362,,(765)529-5300,
1213,CMS Provider/Clinician,University Medical Diagnostic Associates Inc,"8820 S Meridian St, Suite 105",Indianapolis,IN,46217,,(317)944-5890,
1214,CMS Provider/Clinician,Thompson Family Clinic Llc,1201 Main St,Monroe City,IN,47557,,(812)743-5113,
1215,CMS Provider/Clinician,Thompson Family Clinic Llc,"1201 Main St, Po Box 6",Monroe City,IN,47557,,(nan)-,
1216,CMS Provider/Clinician,Thompson Family Clinic Llc,1201 Main St,Monroe City,IN,47557,,(nan)-,
1223,CMS Provider/Clinician,Psf Pllc,"1401 Veterans Pkwy, Suite 500",Clarksville,IN,47129,,(800)999-1249,
1224,CMS Provider/Clinician,Psf Pllc,"9800 Shelbyville Rd, Suite 220",Louisville,KY,40223,,(502)429-8585,
1225,CMS Provider/Clinician,Spring View Physician Practices Llc,320 N Loretto Rd,Lebanon,KY,40033,,(270)692-5152,
1226,CMS Provider/Clinician,Spring View Physician Practices Llc,330 N Loretto Rd,Lebanon,KY,40033,,(270)699-4638,
1227,CMS Provider/Clinician,Spring View Physician Practices Llc,330 N Loretto Rd,Lebanon,KY,40033,,(270)699-2229,
1228,CMS Provider/Clinician,Spring View Physician Practices Llc,420 N Loretto Rd,Lebanon,KY,40033,,(270)692-5139,
1229,CMS Provider/Clinician,Spring View Physician Practices Llc,"420 N Loretto Rd, Suite 600",Lebanon,KY,40033,,(270)692-5139,
1230,CMS Provider/Clinician,Spring View Physician Practices Llc,"330 N Loretto Rd, Suite 500A",Lebanon,KY,40033,,(270)699-2229,
1237,CMS Provider/Clinician,"Little Psychological Services, Pllc","6900 Houston Rd, Suite 11",Florence,KY,41042,,(859)525-4911,
1238,CMS Provider/Clinician,Sweet Dreams Anesthesia Inc,"4130 Dutchmans Ln, Suite 300",Louisville,KY,40207,,(502)897-1794,
1245,CMS Provider/Clinician,New Lexington Clinic Psc,"230 Fountain Ct, Suite 230",Lexington,KY,40509,,(859)977-5335,
1246,CMS Provider/Clinician,Harrison Memorial Hospital,439 E Pleasant St,Cynthiana,KY,41031,,(859)234-4494,
1247,CMS Provider/Clinician,Harrison Memorial Hospital,"1210 Ky Hwy 36 E, Suite G3",Cynthiana,KY,41031,,(859)235-3638,
1248,CMS Provider/Clinician,"Kentucky Medical Services Foundation, Inc",1350 Bull Lea Rd,Lexington,KY,40511,,(859)246-8000,
1251,CMS Provider/Clinician,Hancock Physician Network Llc,1515 N State St,Greenfield,IN,46140,,(nan)-,
1252,CMS Provider/Clinician,Hancock Health Gateway Services Inc,"6189 W John L Modglin Dr, Suite 101",Greenfield,IN,46140,,(317)866-7300,
1254,CMS Provider/Clinician,"Indiana Clinic-Neurology, Llc",1701 N Senate Blvd,Indianapolis,IN,46202,,(317)948-5450,
1255,CMS Provider/Clinician,"Indiana Clinic-Neurology, Llc",350 S Landmark Ave,Bloomington,IN,47403,,(317)278-5450,
1260,CMS Provider/Clinician,Baptist Health Medical Group Inc,"1020 Veterans Pkwy, Suite 100",Clarksville,IN,47129,,(812)288-8817,
1266,CMS Provider/Clinician,Psychological And Behavioral Consultants Llc,"100 Executive Park, Suite 103",Louisville,KY,40207,,(502)552-5068,
1267,CMS Provider/Clinician,Psychological And Behavioral Consultants Llc,"1030 Monarch St, Suite 100",Lexington,KY,40513,,(844)468-5050,
1271,CMS Provider/Clinician,Louisville Orthopaedic Clinic And Sports Rehabilitation Center Psc,"4130 Dutchmans Ln, Suite 300",Louisville,KY,40207,,(502)897-1794,
1272,CMS Provider/Clinician,Louisville Orthopaedic Clinic And Sports Rehabilitation Center Psc,"1425 State St, Suite 100",New Albany,IN,47150,,(502)897-1794,
1273,CMS Provider/Clinician,Harrison County Hospital,1141 Hospital Dr Nw,Corydon,IN,47112,,(812)738-7865,
1274,CMS Provider/Clinician,Harrison County Hospital,1263 Hospital Dr Nw,Corydon,IN,47112,,(nan)-,
1275,CMS Provider/Clinician,Otolaryngology Associates Llc,5255 E Stop 11 Rd,Indianapolis,IN,46237,,(317)844-7059,
1278,CMS Provider/Clinician,Indiana University Health Southern Indiana Physicians Llc,"2209 John R Wooden Dr, Indiana University So In P",Martinsville,IN,46151,,(888)484-3258,
1279,CMS Provider/Clinician,Indiana University Health Southern Indiana Physicians Llc,"642 W Hospital Rd, Indiana University So In P",Paoli,IN,47454,,(888)484-3258,
1287,CMS Provider/Clinician,"Eye Centers Of Louisville,Psc",73 Quartermaster Ct,Jeffersonville,IN,47130,,(812)284-0777,
1288,CMS Provider/Clinician,"Eye Centers Of Louisville,Psc","1935 Bluegrass Ave, Suite 200",Louisville,KY,40215,,(502)895-0040,
1289,CMS Provider/Clinician,Compass Emergency Physicians Psc,1 Medical Village Dr,Edgewood,KY,41017,,(859)301-2250,
1290,CMS Provider/Clinician,Kidney And Hypertension Center Inc,"830 Thomas More Pkwy, Suite 202",Edgewood,KY,41017,,(859)341-6281,
1291,CMS Provider/Clinician,Kidney And Hypertension Center Inc,"721 Rudolph Way, Lawrenceburg Dialysis",Greendale,IN,47025,,(812)537-4240,
1294,CMS Provider/Clinician,Kevin Snipes Od And Associates Psc,"7900 Shelbyville Rd, Suite A15",Louisville,KY,40222,,(502)327-8568,
1297,CMS Provider/Clinician,"University Family Physicians, Inc.","9650 E Washington St, 100 Iu Health Phys",Indianapolis,IN,46229,,(317)944-4000,
1298,CMS Provider/Clinician,"University Family Physicians, Inc.",9660 E Washington St,Indianapolis,IN,46229,,(317)944-9400,
1300,CMS Provider/Clinician,Therapy On Wheels Inc,124 Hawthorne Ln,Greenwood,IN,46142,,(317)332-9861,
1301,CMS Provider/Clinician,"Cumberland Family Medical Center, Inc..",333 S 3Rd St,Danville,KY,40422,,(859)236-7712,
1303,CMS Provider/Clinician,Anesthesia Services,801 Eastern Byp,Richmond,KY,40475,,(800)232-5703,
1305,CMS Provider/Clinician,"Hudson Eye Center, Llc",27 N Main St,Walton,KY,41094,,(859)485-3937,
1306,CMS Provider/Clinician,"Lawrenceburg Eye Center, Llc","403 Walnut St, Suite A",Lawrenceburg,IN,47025,,(812)537-2020,
1307,CMS Provider/Clinician,Baptist Health Medical Group Inc,"1700 Nicholasville Rd, Suite 1100",Lexington,KY,40503,,(859)278-5671,
1308,CMS Provider/Clinician,Community Medical Associates Inc,"3 Audubon Plaza Dr, Suite Ll2",Louisville,KY,40217,,(502)636-8095,
1318,CMS Provider/Clinician,"Christ Hospital Medical Associates, Ii Llc","1955 Dixie Hwy, Suite N",Ft Wright,KY,41011,,(859)341-6255,
1319,CMS Provider/Clinician,Healthnet Inc,1701 N Senate Blvd,Indianapolis,IN,46202,,(317)962-8909,
1320,CMS Provider/Clinician,Healthnet Inc,"1701 N Senate Blvd, Healthnet Triage Ob/Gyn Se",Indianapolis,IN,46202,,(317)962-8909,
1321,CMS Provider/Clinician,Healthnet Inc,3403 E Raymond St,Indianapolis,IN,46203,,(nan)-,
1322,CMS Provider/Clinician,Healthnet Inc,2855 N Keystone Ave,Indianapolis,IN,46218,,(nan)-,
1323,CMS Provider/Clinician,Healthnet Inc,"2855 N Keystone Ave, Suite 120",Indianapolis,IN,46218,,(nan)-,
1326,CMS Provider/Clinician,Indiana University Health Care Associates Inc,1111 Ronald Reagan Pkwy,Avon,IN,46123,,(317)944-3500,
1327,CMS Provider/Clinician,"Anesthesiology Consultants Enterprises, Pllc",1 Audubon Plaza Dr,Louisville,KY,40217,,(859)268-1030,
1328,CMS Provider/Clinician,S Kapoor Pllc,2109 Club Vista Pl,Louisville,KY,40245,,(502)602-4620,
1330,CMS Provider/Clinician,Aegis Group Practice Llc,8800 Spoon Dr,Indianapolis,IN,46219,,(800)444-6845,
1332,CMS Provider/Clinician,Sondermind Provider Network Llc,"312 S 4Th St, Suite 700",Louisville,KY,40202,,(720)712-7900,
1333,CMS Provider/Clinician,"Cumberland Family Medical Center, Inc..","279 Kings Daughters Dr, Suite 301",Frankfort,KY,40601,,(502)227-2229,
1335,CMS Provider/Clinician,"Sound Physicians Of Indiana, Llc",2250 Harvest Moon Dr,Indianapolis,IN,46229,,(248)871-1999,
1336,CMS Provider/Clinician,"Sound Physicians Of Indiana, Llc",11050 Presbyterian Dr,Indianapolis,IN,46236,,(317)823-6841,
1338,CMS Provider/Clinician,"University Obstetricians-Gynecologists,Inc","550 N University Blvd, Uh2440",Indianapolis,IN,46202,,(317)274-8231,
1339,CMS Provider/Clinician,The Health And Hospital Corporation Of Marion County,"5515 W 38Th St, Eskenazi Health Center",Indianapolis,IN,46254,,(317)880-3838,
1341,CMS Provider/Clinician,Community Medical Associates Inc,202 Limestone St S,Frankfort,KY,40601,,(nan)-,
1342,CMS Provider/Clinician,Kentucky Orthopaedics And Spine Pllc,"1138 Lexington Rd, Suite 110",Georgetown,KY,40324,,(502)570-3754,
1343,CMS Provider/Clinician,Kentucky Orthopaedics And Spine Pllc,404 Shoppers Dr,Winchester,KY,40391,,(859)737-5333,
1354,CMS Provider/Clinician,Access Telecare Pllc,1903 W Hebron Ln,Shepherdsville,KY,40165,,(972)449-0540,
1355,CMS Provider/Clinician,Access Telecare Pllc,1850 Bluegrass Ave,Louisville,KY,40215,,(972)449-0540,
1356,CMS Provider/Clinician,Access Telecare Pllc,1140 Lexington Rd,Georgetown,KY,40324,,(972)449-0540,
1357,CMS Provider/Clinician,Access Telecare Pllc,3885 Little Bluestem Dr,Owensboro,KY,42303,,(972)449-0540,
1364,CMS Provider/Clinician,Harrison County Hospital,"1263 Hospital Dr Nw, Suite 260",Corydon,IN,47112,,(812)738-6040,
1370,CMS Provider/Clinician,Baptist Health Medical Group Inc,"3999 Dutchmans Ln, Suite 4D F",Louisville,KY,40207,,(502)893-6777,
1372,CMS Provider/Clinician,University Surgeons Inc,1111 Ronald Reagan Pkwy,Avon,IN,46123,,(317)963-1400,
1373,CMS Provider/Clinician,University Surgeons Inc,550 University Blvd,Indianapolis,IN,46202,,(nan)-,
1377,CMS Provider/Clinician,Athletico Ltd,"1273 N Emerson Ave, Suite E",Greenwood,IN,46143,,(317)807-0770,
1380,CMS Provider/Clinician,"University Family Physicians, Inc.",550 University Blvd,Indianapolis,IN,46202,,(317)944-5000,
1385,CMS Provider/Clinician,Owensboro Health Medical Group Inc,"910 Wallace Ave, Suite 207",Leitchfield,KY,42754,,(270)259-2714,
1387,CMS Provider/Clinician,Community Physicians Of Indiana Inc,"1400 N Ritter Ave, Suite 375B",Indianapolis,IN,46219,,(317)355-9370,
1389,CMS Provider/Clinician,Baptist Health Medical Group Inc,3900 Kresge Way,Louisville,KY,40207,,(nan)-,
1392,CMS Provider/Clinician,"Prorehab Louisville, Llc",10321 Champion Farms Dr,Louisville,KY,40241,,(502)425-1716,
1393,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,309 11Th St,Carrollton,KY,41008,,(502)732-3249,
1394,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,1 Medical Village Dr,Edgewood,KY,41017,,(859)301-2160,
1395,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,"560 S Loop Rd, Suite 100",Edgewood,KY,41017,,(859)301-2663,
1396,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,4900 Houston Rd,Florence,KY,41042,,(859)212-5420,
1397,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,2200 Conner Rd,Hebron,KY,41048,,(859)814-0010,
1398,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,85 N Grand Ave,Fort Thomas,KY,41075,,(859)572-3140,
1399,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,238 Barnes Rd,Williamstown,KY,41097,,(859)824-8110,
1400,CMS Provider/Clinician,Radiology Associates Of Northern Kentucky Pllc,1640 Flossie Dr,Greendale,IN,47025,,(812)496-3285,
1401,CMS Provider/Clinician,"Mid-South Anesthesia, Pllc",2620 Wilhite Dr,Lexington,KY,40503,,(859)278-6031,
1402,CMS Provider/Clinician,Baptist Health Medical Group Inc,"2040 Harrodsburg Rd, Suite 200",Lexington,KY,40503,,(859)899-7993,
1403,CMS Provider/Clinician,Owensboro Health Medical Group Inc,"1000 Breckenridge St, Suite 303",Owensboro,KY,42303,,(270)688-5115,
1407,CMS Provider/Clinician,Indiana Joint Replacement Institute,1199 Hadley Rd,Mooresville,IN,46158,,(317)620-0232,
1410,CMS Provider/Clinician,Mccd Fl Psychiatry Services Pa,101 N 7Th St,Louisville,KY,40202,,(917)634-5311,
1414,CMS Provider/Clinician,Recover Together Inc,1430 N Gardner St,Scottsburg,IN,47170,,(800)683-8313,
1415,CMS Provider/Clinician,Community Physicians Of Indiana Inc,"333 E County Line Rd, Suite B",Greenwood,IN,46143,,(317)497-6333,
1425,CMS Provider/Clinician,Nautilus Health Care Group Plc,5000 Chamberlain Ln,Louisville,KY,40241,,(502)861-9600,
1426,CMS Provider/Clinician,Owensboro Health Medical Group Inc,"2211 Mayfair Dr, Suite 305",Owensboro,KY,42301,,(270)688-3700,
1427,CMS Provider/Clinician,"Christ Hospital Medical Associates, Ii Llc",3955 Alexandria Pike,Cold Spring,KY,41076,,(859)442-8700,
1428,CMS Provider/Clinician,University Of Louisville Physicians Inc,1900 Bluegrass Ave,Louisville,KY,40215,,(502)583-8303,
1429,CMS Provider/Clinician,University Of Louisville Physicians Inc,"1900 Bluegrass Ave, Suite 103",Louisville,KY,40215,,(502)367-4500,
1430,CMS Provider/Clinician,Chronic Illness Counseling Center Llc,"13804 Lake Point Cir, Suite 101",Louisville,KY,40223,,(502)805-5858,
1433,CMS Provider/Clinician,Kentuckiana Foot And Ankle Pllc,2818 Grant Line Rd,New Albany,IN,47150,,(812)725-7542,
1434,CMS Provider/Clinician,Kentuckiana Foot And Ankle Pllc,3045 Ring Rd,Elizabethtown,KY,42701,,(270)737-3338,
1435,CMS Provider/Clinician,Community Medical Associates Inc,676 S Floyd St,Louisville,KY,40202,,(nan)-,
1436,CMS Provider/Clinician,Community Medical Associates Inc,3 Audubon Plaza Dr,Louisville,KY,40217,,(nan)-,
1439,CMS Provider/Clinician,Kiosk Medicine Kentucky Llc,4915 Dixie Hwy,Louisville,KY,40216,,(502)449-8608,
1440,CMS Provider/Clinician,Indiana University Health Care Associates Inc,1115 Ronald Reagan Pkwy,Avon,IN,46123,,(317)217-2100,
1444,CMS Provider/Clinician,Franciscan Physician Network,1201 Hadley Rd,Mooresville,IN,46158,,(317)781-7381,
1445,CMS Provider/Clinician,Franciscan Physician Network,"1201 Hadley Rd, Suite 220",Mooresville,IN,46158,,(317)865-5904,
1446,CMS Provider/Clinician,Franciscan Physician Network,1205 Hadley Rd,Mooresville,IN,46158,,(317)781-7391,
1447,CMS Provider/Clinician,Franciscan Physician Network,"1205 Hadley Rd, Suite 220",Mooresville,IN,46158,,(317)781-7344,
1448,CMS Provider/Clinician,Franciscan Physician Network,1205 E Hadley Rd,Mooresville,IN,46158,,(317)831-9469,
1449,CMS Provider/Clinician,Franciscan Physician Network,1199 Hadley Rd,Mooresville,IN,46158,,(nan)-,
1450,CMS Provider/Clinician,Thomas A Brady Sports Medicine Ctr,1199 Hadley Rd,Mooresville,IN,46158,,(317)817-1200,
1454,CMS Provider/Clinician,Sharrock Strength And Rehab Llc,1932 Bypass Rd,Winchester,KY,40391,,(859)749-4039,
1456,CMS Provider/Clinician,Healthpro Heritage Rehab And Fitness Llc,4940 W 56Th St,Indianapolis,IN,46254,,(317)794-3879,
1457,CMS Provider/Clinician,Community Physicians Of Indiana Inc,1500 N Ritter Ave,Indianapolis,IN,46219,,(nan)-,
1458,CMS Provider/Clinician,Community Physicians Of Indiana Inc,1400 N Ritter Ave,Indianapolis,IN,46219,,(nan)-,
1460,CMS Provider/Clinician,"Fast Pace Kentucky, Pllc",805 S Lincoln Blvd,Hodgenville,KY,42748,,(270)491-2094,
1462,CMS Provider/Clinician,"Owensboro Health Twin Lakes Regional Medical Center, Inc",301 Sunset Dr,Caneyville,KY,42721,,(270)879-3711,
1466,CMS Provider/Clinician,Norton Childrens Medical Group Llc,"2933 Breckenridge Ln, Suite 101",Louisville,KY,40220,,(502)588-0736,
1473,CMS Provider/Clinician,Baptist Health Medical Group Inc,1360 Rogersville Rd,Radcliff,KY,40160,,(270)351-1150,
1474,CMS Provider/Clinician,Baptist Health Medical Group Inc,"2411 Ring Rd, Suite 114",Elizabethtown,KY,42701,,(270)706-1925,
1475,CMS Provider/Clinician,One Anesthesia Pllc,1850 State St,New Albany,IN,47150,,(812)944-7701,
1478,CMS Provider/Clinician,Aegis Group Practice Llc,2715 Charlestown Pike,Jeffersonville,IN,47130,,(812)933-8267,
1480,CMS Provider/Clinician,The Damien Center Inc,26 N Arsenal Ave,Indianapolis,IN,46201,,(317)632-0123,
1481,CMS Provider/Clinician,New Lexington Clinic Psc,1221 S Broadway,Lexington,KY,40504,,(859)258-4000,
1482,CMS Provider/Clinician,Baptist Health Medical Group Inc,"4004 Dupont Cir, Suite 220",Louisville,KY,40207,,(502)896-6696,
1484,CMS Provider/Clinician,Healthfirst Bluegrass Inc,496 Southland Dr,Lexington,KY,40503,,(859)288-2425,
1487,CMS Provider/Clinician,Cleanslate Medical Group Of Kentucky Pllc,"210 E Gray St, Suite 803",Louisville,KY,40202,,(413)584-2173,
1488,CMS Provider/Clinician,New Palestine Chiropractic Inc,"4056 Arbor Ln, Suite 100",New Palestine,IN,46163,,(nan)-,
1489,CMS Provider/Clinician,New Palestine Chiropractic Inc,"4056 S Arbor Ln, Suite 100",New Palestine,IN,46163,,(317)861-4300,
1491,CMS Provider/Clinician,Baptist Health Medical Group Inc,2109 Green Valley Rd,New Albany,IN,47150,,(812)948-2232,
1496,CMS Provider/Clinician,Cg Medical Associates Inc,"7683 Mall Rd, Unit B",Florence,KY,41042,,(859)817-1320,
1497,CMS Provider/Clinician,"Horizon Infusions, Llc","330 Thomas More Pkwy, Suite 202",Crestview Hills,KY,41017,,(513)619-9223,
1503,CMS Provider/Clinician,Ohio County Hospital Corporation,1211 Old Main St,Hartford,KY,42347,,(270)298-3806,
1504,CMS Provider/Clinician,Ohio County Hospital Corporation,1215 Old Main St,Hartford,KY,42347,,(270)730-5344,
1505,CMS Provider/Clinician,Lexington Urgent Care Pllc,"1701 Nicholasville Rd, Suite 100",Lexington,KY,40503,,(859)466-8956,
1511,CMS Provider/Clinician,"Spivey Medical, Pllc",1064 N College St,Harrodsburg,KY,40330,,(859)734-3057,
1512,CMS Provider/Clinician,"Shc Medical Partners Of Kentucky, Llc",717 N Lincoln Blvd,Hodgenville,KY,42748,,(270)358-3103,
1516,CMS Provider/Clinician,Aims Llc,6720 Parkdale Pl,Indianapolis,IN,46254,,(615)250-9500,
1517,CMS Provider/Clinician,Norton Hospitals Inc,"2355 Poplar Level Rd, Suite 405",Louisville,KY,40217,,(502)636-7845,
1520,CMS Provider/Clinician,Columbus Regional Health Physicians Llc,2400 17Th St,Columbus,IN,47201,,(812)373-3025,
1521,CMS Provider/Clinician,Major Multispecialty Associates,"2451 Intelliplex Dr, Suite 250",Shelbyville,IN,46176,,(317)398-5267,
1523,CMS Provider/Clinician,Community Physicians Of Indiana Inc,"8150 Oaklandon Rd, Suite 130",Indianapolis,IN,46236,,(317)621-1111,
1524,CMS Provider/Clinician,Baptist Health Medical Group Inc,"789 Eastern Bypass, Suite 23",Richmond,KY,40475,,(606)523-8521,
1526,CMS Provider/Clinician,Kentuckiana Foot And Ankle Pllc,900 Chambers Blvd,Bardstown,KY,40004,,(502)331-6309,
1527,CMS Provider/Clinician,Kentuckiana Foot And Ankle Pllc,"4420 Dixie Hwy, Suite 130",Louisville,KY,40216,,(502)805-3338,
1529,CMS Provider/Clinician,Baptist Health Medical Group Inc,"313 Federal Dr Nw, Suite 110",Corydon,IN,47112,,(812)738-3616,
1531,CMS Provider/Clinician,Benchmark Physical Therapy Of Ky Llc,"7800 John Davis Dr, Suite 460",Frankfort,KY,40601,,(502)699-2734,
1532,CMS Provider/Clinician,"Agilitas Usa, Inc","118 Market Place Cir, Suite D",Georgetown,KY,40324,,(859)300-1335,
1533,CMS Provider/Clinician,First Urology Psc,"1919 State St, Suite 205",New Albany,IN,47150,,(812)941-0443,
1538,CMS Provider/Clinician,Drayer Physical Therapy Kentucky Llc,"1010 Monarch St, Suite 150",Lexington,KY,40513,,(859)219-0211,
1539,CMS Provider/Clinician,Family First Vision Care Kentucky Llc,"3801 Mall Rd, Suite 115",Lexington,KY,40503,,(859)278-5443,
1541,CMS Provider/Clinician,Owensboro Health Medical Group Inc,"2211 Mayfair Dr, Suite 101",Owensboro,KY,42301,,(270)691-8070,
1542,CMS Provider/Clinician,Summit Medical Group Inc,7300 Turfway Rd,Florence,KY,41042,,(859)212-4700,
1544,CMS Provider/Clinician,Community Medical Associates Inc,200 E Chestnut St,Louisville,KY,40202,,(502)629-8000,
1550,CMS Provider/Clinician,"Nunn Psychiatric Care, Pllc",113 Lincoln Dr,Hodgenville,KY,42748,,(270)763-3777,
1552,CMS Provider/Clinician,"Sn Kentuckiana Rehab, Llc",2901 Bardstown Rd,Louisville,KY,40205,,(502)459-6307,
1553,CMS Provider/Clinician,Baptist Health Medical Group Inc,"2125 State St, Suite 2",New Albany,IN,47150,,(812)949-6360,
1557,CMS Provider/Clinician,Myeyedr Optometry Of Indiana Llc,"105 S Raceway Rd, Suite 100",Indianapolis,IN,46231,,(317)273-8474,
1558,CMS Provider/Clinician,Myeyedr Optometry Of Indiana Llc,"8170 Oaklandon Rd, Suite A",Indianapolis,IN,46236,,(630)377-7722,
1560,CMS Provider/Clinician,Centerstone Of Indiana Inc,952 S Main St,Martinsville,IN,46151,,(765)342-6616,
1561,CMS Provider/Clinician,University Of Kentucky,1350 Bull Lea Rd,Lexington,KY,40511,,(859)246-8000,
1562,CMS Provider/Clinician,Little Clinic Of In Llc,970 N Morton St,Franklin,IN,46131,,(317)494-4320,
