INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
2233,Personal Services Agencies,"Assurance Home & Convalescent Care, Inc",3004 Taylorsville Road,Louisville,KY,40205,5024791906,Michelle Deneen,"Assurance Home & Convalescent Care, Inc.",500082,12/31/2025,N/A,-85.66439403,38.22253039
2234,Personal Services Agencies,"At Home Care Of Kentucky, Inc","1725 Ashley Circle, Suite 205",Bowling Green,KY,42104,2709040115,Christy Stephens,"At Home Care Of Kentucky, Inc.",500398,07/31/2026,N/A,-86.4167007,-86.4167007
2235,Personal Services Agencies,Attend Home Care,"904 Lily Creek Road, Suite 202",Louisville,KY,40243,5028143111,Amy Elsbury,Attend Opco Llc,500117,08/31/2026,N/A,-85.53893455,38.23091367
2236,Personal Services Agencies,"Attender Care, Llc",1022 Highland Park Drive,Lexington,KY,40505,8592023730,Dana Wyatt,"Attender Care, Llc",500265,Pending Renewal,N/A,-84.47101814,38.05315886
2237,Personal Services Agencies,B & J Helping Hands,4102 Dellafay Drive,Louisville          ,KY,40219,5023877959,Xenonti Burden,"B & J Helping Hands, Llc",500223,Pending Renewal,N/A,-85.68508957,38.1588407
2238,Personal Services Agencies,"Barbara Care, Inc","624 Wellington Way, Suite B",Lexington,KY,40503,8552422734,Reuben Gentry,"Barbara Care, Inc",500299,05/31/2026,N/A,-84.54700533,38.001954
2239,Personal Services Agencies,"Baryeh Homecare Solutions, Llc",6812 Hawley View Ct,Crestwood,KY,40014,5025091887,Beatrice Baryeh,"Baryeh Homecare Solutions, Llc",500449,02/28/2026,N/A,,
2240,Personal Services Agencies,Bell County Senior Citizen Centers,207 S 21St Street,Middlesboro,KY,40965,6062482990,Carolyn Mason,"Bell County Senior Citizens Program, Inc",500057A,Pending Renewal,N/A,-83.71558585,36.60568438
2241,Personal Services Agencies,"Best Family Care, Inc","9462 Brownsboro Road, Suite 401",Louisville,KY,40241,5028811844,Rebecca Poe,"Best Family Care, Inc.",500305,Pending Renewal,N/A,-85.57514158,38.30707101
2242,Personal Services Agencies,"Best Quality Kare Home Service Company, Llc","1403 North Forbes Road, Suite 120",Lexington,KY,40511,5025424854,Bettie Stewart,"Best Quality Kare Home Service Company, Llc",500294,Pending Renewal,N/A,-84.51961186,38.06443643
2243,Personal Services Agencies,"Better Days, Co",175 Colony Road,Manchester,KY,40962,6065996239,Donald Nicholson,"Better Days, Co.",500226,Pending Renewal,N/A,-83.79021473,37.15904432
2244,Personal Services Agencies,"Beverly'S Angels, Llc",725 High Street,Paris,KY,40361,8599870077,Steven Pearce,"Beverly'S Angels, Llc",500040,12/31/2025,N/A,-84.25270511,38.21046487
2245,Personal Services Agencies,Black Pearl Home Care,2520 New Holt Rd Suite E ,Paducah,KY,42001,2705577418,Amanda Triplett,"Black Pearl Home Care, Llc",500293,01/31/2026,N/A,-88.69403507,37.06710949
2246,Personal Services Agencies,"Blossom Tree Home Healthcare Services, Llc",3908 Bardstown Road,Louisville,KY,40218,5024184629,Stephen Asamoah,"Blossom Tree Home Healthcare Services, Llc",500446,11/30/2025,N/A,-85.65270039,38.19500539
2247,Personal Services Agencies,"Bluebird Homecare Of Kentucky, Inc","10200 Forest Green Boulevard, Suite 112",Louisville,KY,40223,5024299340,Kay Doucette,"Bluebird Homecare Of Kentucky, Inc",500238,09/30/2026,N/A,-85.56900995,38.26306326
2248,Personal Services Agencies,Bluegrass Choice Non-Medical Home Care,458 Anniston Drive,Lexington,KY,40505,8596191467,Grace Blackburn,Bluegrass Choice Non-Medical Home Care,500433,Pending Renewal,N/A,-84.4457634,38.06459826
2249,Personal Services Agencies,Bluegrass Comfort Care Llc,4708 Russellville Rd,Allensville,KY,42204,8643157448,Anissa Cross,Bluegrass Comfort Care Llc,500474,09/30/2026,N/A,-87.12271211,36.69619112
2250,Personal Services Agencies,"Bluegrass Healing Hands, Llc",410 Court Sq Suite A,Barbourville,KY,40906,6065455683,Kayla Spain,"Bluegrass Healing Hands, Llc",500424,Pending Renewal,N/A,-83.88815101,36.86627472
2251,Personal Services Agencies,"Bluegrass Home Care Services, Llc",2039 Regency Rd Unit 1,Lexington,KY,40503,8593340744,Tammy Scott,"Bluegrass Home Care Services, Llc",500318,04/30/2026,N/A,-84.522965,38.01194501
2252,Personal Services Agencies,"Brightmore Home Care Of Kentucky, Llc",3565 Lone Oak Road,Paducah,KY,42001,2707093145,Dan Pope,"Brightmore Home Care Of Kentucky, Llc",500268,Pending Renewal,N/A,-88.67077556,37.02900673
2253,Personal Services Agencies,Brightstar Care Of Northern Kentucky,"2734 Chancellor Drive, Suite 207",Crestview Hills,KY,41017,8596929500,Alison Mccreary,Brightstar Care Of Northern Kentucky,500241,10/31/2025,N/A,-84.560991,39.02387235
2254,Personal Services Agencies,"Cardea Homecare, Llc","212 North Second Street, Suite 100",Richmond,KY,40475,5026323906,James Fox,"Cardea Homecare, Llc",500297,Pending Renewal,N/A,-84.2943206,37.74888985
2255,Personal Services Agencies,Care And Companion Homecare Services Llc,169 E Reynolds Rd Ste 101A,Lexington,KY,40517,8593038323,Chandra Mangar,Care And Companion Homecare Services Llc,500425,Pending Renewal,N/A,-84.52074343,37.99030796
2256,Personal Services Agencies,Carebuilders At Home,"2210 Goldsmith Lane, Suite 209",Louisville,KY,40218,5024582273,Laura Curry,"Lac Enterprises, Inc.",500259,08/31/2026,N/A,-85.66863865,38.20864063
2257,Personal Services Agencies,"Caregivers By Linda, Llc",215 South 4Th Street,Danville,KY,40422,8592387611,Linda Dye,"Caregivers By Linda, Llc",500071,12/31/2025,N/A,-84.77424243,37.6446045
2258,Personal Services Agencies,Carestar Of Kentucky,5566 Cheviot Road,Cincinnati,KY,45247,5136188300,Sara Kahrhoff,"Carestar Of Kentucky, Llc",500098,Pending Renewal,N/A,-84.59902614,39.19291773
2259,Personal Services Agencies,"Caring Excellence Personalized Home Care Services,",1169 Eastern Parkway,Louisville,KY,40217,5022089424,Kayla Cook,"Caring Excellence Personalized Home Care Services,",500190,04/30/2026,N/A,-85.72734332,38.22549664
2260,Personal Services Agencies,"Caring For You, Inc","4010 Dupont Circle, Suite 223",Louisville,KY,40207,5028932790,Lillian Levy,"Caring For You, Inc.",500123,Pending Renewal,N/A,-85.63103216,38.23304461
2261,Personal Services Agencies,Caring With A Smile Home Care,1004 Brookhaven Road Ste B,Franklin,KY,42134,2703061402,Lekesha Matthews,"Caring With A Smile Home Care, Llc",500323,06/30/2026,N/A,-86.5761163,36.70324815
2262,Personal Services Agencies,Central Home Care,6921 Woodhaven Place Drive,Louisville,KY,40228,6822213065,Tom Neupane,"Central Home Care, Llc",500421,11/30/2025,N/A,-85.63582151,38.16951523
2263,Personal Services Agencies,"Central Ky Home Care, Llc",711 Millpond Road,Lexington,KY,40514,8594690976,Katherine Greaves,"Central Kentucky Homecare, Llc",500367,04/30/2026,N/A,-84.55003832,37.9769513
2264,Personal Services Agencies,Charis Hearts,112 Cude Lane,Madison,KY,37115,6158481377,Dawn Genereux,Charis Hearts,500415,Pending Renewal,N/A,-86.69531412,36.2985274
2265,Personal Services Agencies,Charming Home Care Agency Llc,8113 Clematis Ln,Louisville,KY,40228,5029384872,Laxmi Dahal,Laxmi Dahal,500460,06/30/2026,N/A,-85.61041654,38.13073802
2266,Personal Services Agencies,Comforcare Senior Services-Louisville- East,1008 Golden Maple Cove,Louisville,KY,40223,5028022540,Kelly Denham,"Prencare Of Ky, Inc.",500193,Pending Renewal,N/A,-85.55445766,38.25877652
2267,Personal Services Agencies,"Comfort Independent Living, Llc",126 Langley Drive,Nicholasville,KY,40356,8597247252,Alecia Hill,"Comfort Independent Living, Llc",500144,11/30/2025,N/A,-84.5293329,37.95386454
2268,Personal Services Agencies,Comfort Keepers,"730 Fairview Avenue, Suite A3",Bowling Green,KY,42101,2707823600,Todd Mcgee,"Lt Senior Care, Llc",500041,12/31/2026,N/A,-86.43455549,36.99254961
2269,Personal Services Agencies,Comfort Keepers #110,3609 Alexandria Pike,Cold Spring,KY,41076,8594915777,Kevin Williams,"Caring Partners, Inc.",500090,01/31/2026,N/A,-84.45034682,39.02879007
2270,Personal Services Agencies,Comfort Keepers #278,2017 29Th Street,Ashland,KY,41101,6063241369,Terry Stewart,"Stewart Care Givers, Inc.",500088,12/31/2025,N/A,-82.64123887,38.46052973
2271,Personal Services Agencies,Comfort Keepers #362,"110 Richie Lane, Suite D",Somerset,KY,42503,6066769888,Sarah Short,"Sas Services, Inc.",500042,11/30/2025,N/A,-84.62781263,37.04255326
2272,Personal Services Agencies,Comfort Keepers #517,1865 East Parrish Ave,Owensboro,KY,42303,2706855045,Levi Reames,"Senior Care Of Owensboro, Inc.",500092,12/31/2025,N/A,-87.08474474,37.76656458
2273,Personal Services Agencies,"Comfort Keepers, Lexington Ky","3228 Summit Square, Suite 260",Lexington,KY,40509,8592241124,Heather Hetzer,"Maebar1, Llc",500016,Pending Renewal,N/A,-84.44221015,38.00130926
2274,Personal Services Agencies,"Comforting Choice, Llc",2221 Osage Avenue,Jeffersonville,KY,47130,5025288901,Ashley Totty,"Comforting Choice, Llc",500369,Pending Renewal,N/A,-85.79077818501453,-85.79077818501453
2275,Personal Services Agencies,"Companion Care Services, Llc",803 East Main Street,Scottsville,KY,42164,2702393470,Valerie Epling,"Companion Care Services, Llc",500013,Pending Renewal,N/A,-86.18262175,36.75284982
2276,Personal Services Agencies,"Compass Care Network, Llc",800 South Preston Street,Louisville,KY,40203,5026319993,Kyia Hemingway,"Compass Care Network, Llc",500351,Pending Renewal,N/A,-85.74809485,38.24244678
2277,Personal Services Agencies,Compassionate Caregiving Corporation,7748 3Rd Street Road,Louisville,KY,40214,8122250228,Trung Huynh,Compassionate Caregiving Corporation,500438,Pending Renewal,N/A,-85.78857007,38.13476661
2278,Personal Services Agencies,"Connecting Hearts Home Care, Llc","654 Highland Ave, Suite 17",Fort Thomas,KY,41075,8594417977,Susan Henderson,"Connecting Hearts Home Care, Llc",500002,12/31/2025,N/A,-84.46109488,39.07591949
2279,Personal Services Agencies,"Corbin Senior Citizens Center, Inc",409 Barbourville Street,Corbin,KY,40701,6065280100,Deidria Case,"Corbin Senior Citizens Center, Inc.",500081,03/31/2026,N/A,-84.05081232,36.9345683
2280,Personal Services Agencies,Cornerstone Caregiving East,2124 13Th St,Ashland,KY,41101,6066443929,Chuck Jessup,"Cornerstone Caregiving East, Llc",500447,01/31/2026,N/A,-82.6577532,38.46647472
2281,Personal Services Agencies,Cornerstone Caregiving East,"80 C Michael Davenport Blvd, Suite B",Frankfort,KY,40601,5022374457,Evan Gold,Cornerstone Caregiving East Llc,500419,10/31/2025,N/A,-84.9165785,38.16053598
2282,Personal Services Agencies,Cornerstone Caregiving East,111 West Dixie Ave Suite 200,Elizabethtown,KY,42701,2545035233,Evan Gold,Michael Hillman,500466,08/31/2026,N/A,-85.85866564,37.69348227
2283,Personal Services Agencies,"Cornerstone Caregiving East, Llc",2816 Veach Road Units 107 & 108,Owensboro,KY,42303,2707139499,Kristie Hagerman,"Cornerstone Caregiving East, Llc",500434,Pending Renewal,N/A,-87.10168261,37.7462829
2284,Personal Services Agencies,"Cornerstone Caregiving East, Llc",310 E Main Ave Suite 212,Bowling Green,KY,42101,2707215713,Sidney Cozby,"Cornerstone Caregiving East, Llc",500470,09/30/2026,N/A,-86.4422399,36.99462869
2285,Personal Services Agencies,"Dee'S Senior Home Care, Llc","4350 Brownsboro Road, Suite 110",Louisville,KY,40207,5028934596,Damita Dickerson,"Dickerson Family Enterprises, Llc",500191,Pending Renewal,N/A,-85.56305053,38.3123268
2286,Personal Services Agencies,Devoted Senior Care,"2065 E Parrish Ave, Suite 300",Owensboro,KY,42303,2706892300,Tricia Carroll,"Devoted Senior Care, Llc",500112,06/30/2026,N/A,-87.07973269,37.76146118
2287,Personal Services Agencies,"Dignity Living, Llp",420 Old Morgantown Suite 4,Bowling Green,KY,42101,2707909238,Joseph Msambya,Dignity Living Llp,500428,Pending Renewal,N/A,-86.4622245,36.98840328
2288,Personal Services Agencies,"Donna'S Assisted Living, Llc",3012 Boaires Lane,Louisville,KY,40220,5026082707,Donna Smith,"Donna'S Assisted Living, Llc",500350,Pending Renewal,N/A,-85.6500836,38.2113353
2289,Personal Services Agencies,Effie'S Place Homecare Services,3934 Dixie Hwy Suite 510,Louisville,KY,40216,5024094669,Tarisha Calvin,Effie'S Place Homecare Services,500443,10/31/2025,N/A,-85.80676231,38.19417648
2290,Personal Services Agencies,Eldercare 4 Families,10503 Timberwood Circle Suite 101,Louisville,KY,40223,5022448446,Tracy May,"Ec4F Home Care, Inc.",500008,12/31/2025,N/A,-85.57084833,38.23386919
2291,Personal Services Agencies,Eldercare 4 Families - Lexington,2220 Executive Drive Suite 203,Lexington,KY,40505,8593095955,Tasha Nunn,"Nova Leap Health Corp Holdings, Inc.",500469,09/30/2026,N/A,-84.42816846,38.04477575
2292,Personal Services Agencies,"Elderserve, Inc",215 West Breckinridge Street,Louisville,KY,40203,5025878673,Ronnie Gilbert,"Elderserve, Inc.",500014,Pending Renewal,N/A,-85.75626155,38.24163701
2293,Personal Services Agencies,Elite Companion Personal Service Agency,507 Big Bear Lane,Lexington,KY,40517,8593619272,Kameisha Caldwell,Elite Companion Personal Service Agency,500353,Pending Renewal,N/A,-84.50113326,37.97960604
2294,Personal Services Agencies,"Ezr Home Care Agency, Llc",1151 S 4Th St Suite 207 ,Louisville,KY,40203,8127732619,Revon Johnson,"Ezr Home Care, Llc",500372,10/31/2026,N/A,-85.76013204,38.235681
2295,Personal Services Agencies,"Family Choice Home Care, Llc","2150 Lexington Road, Suite G",Richmond,KY,40475,8593338147,Kathy Yates,"Family Choice Home Care, Llc",500046,12/31/2025,N/A,-84.32036214,37.7766437
2296,Personal Services Agencies,"Family Support Services, Llc",3807 Crestridge Drive,Louisville,KY,40272,5022130892,Amy Robertson,"Family Support Services, Llc",500167,Pending Renewal,N/A,-85.83355404,38.10507193
2297,Personal Services Agencies,Firstlight Home Care Of Eastern Ky,117 E 2Nd Street,Grayson,KY,41143,6063930669,Rebekah Skaggs,Spectre & Queen Llc,500280,07/31/2026,N/A,-82.94832843,38.33334242
2298,Personal Services Agencies,Firstlight Home Care Of Lexington,715 Shaker Drive #105,Lexington,KY,40504,8597852691,Justin Butler,"Harrquin, Llc",500336,12/31/2025,N/A,-84.528993,38.03150566
2299,Personal Services Agencies,Firstlight Home Care Of Louisville,3761 Johnson Hall Drive,Masonic Home,KY,40041,5026320448,Kimberly Leis,"Masonic Home Community Based Services, Inc.",500244,Pending Renewal,N/A,-85.6630187,38.2575373
2300,Personal Services Agencies,Firstlight Homecare Of Eastern Cincinnati And No,"1701 Dixie Highway, Suite A",Fort Wright,KY,41011,8599053400,Beth Steel,"T3B Services, Llc",500155,Pending Renewal,N/A,-84.53798952,39.06311044
2301,Personal Services Agencies,Fountain Community Healthcare Services,1232 Paris Pike,Georgetown,KY,40324,5025420964,Juliana Kponyoh,"Fountain Community Healthcare Services, Llc",500237,09/30/2026,N/A,-84.54420963,38.21348665
2302,Personal Services Agencies,"Fox Access, Llc",5817 Bannon Crossings Drive,Louisville,KY,40228,5028198471,Geoffrey Gioche,"Fox Access, Llc",500348,Pending Renewal,N/A,-85.63703687,38.17405006
2303,Personal Services Agencies,Freedom Adult Day Healthcare & Home Care,4511 Bardstown Road,Louisville,KY,40218,5026484961,Donna Rogers,"Freedom Senior Share, Llc",500352,Pending Renewal,N/A,-85.62913219,38.18255494
2304,Personal Services Agencies,Freedom Day Healthcare,127 Lees Valley Road,Shepherdsville,KY,40165,5022156026,Donna Rogers,"Freedom Day Healthcare, Llc",500392,Pending Renewal,N/A,-85.69175622,38.00044206
2305,Personal Services Agencies,Freedom Home Care,"7301 Fegenbush Lane, Suite 201-1008",Louisville,KY,40228,5028297626,Dwayne Alborn,"Operation Freedom Care, Llc",500400,Pending Renewal,N/A,-85.6255236127766,-85.6255236127766
2306,Personal Services Agencies,Fullers Family Home Care,3167 Custer Drive Ste.102,Lexington,KY,40517,8598804680,Michelle Fuller,"Fullers Family Home Care, Llc",500412,03/31/2026,N/A,-84.45957411,37.98837425
2307,Personal Services Agencies,"Geniune Global Care, Llc",4519 Fallen Apple,Louisville,KY,40218,5312073545,Portia Mabasa,"Genuine Global Care, Llc",500441,10/31/2025,N/A,-85.61701982,38.18816653
2308,Personal Services Agencies,"Georgia B Divine Care, Llc",112 Navaho Trail,Hopkinsville,KY,42240,2705718972,Jamie Pearson,"Georgia B. Divine Care, Llc",500459,05/31/2026,N/A,-87.51678859,36.86047966
2309,Personal Services Agencies,Golden Helpers Home Healthcare,800 Cawthon Street,Louisville,KY,40203,5029122689,Saybah Glay,"Golden Helpers Home Healthcare, Llc",500406,Pending Renewal,N/A,-85.76555423,38.24406615
2310,Personal Services Agencies,Golden Years Homecare,2855 Jackson St Suite 3 ,Paducah,KY,42003,2705643526,Amanda Zachary,Amanda Zachary,500381,Pending Renewal,N/A,-88.62929272,37.06757814
2311,Personal Services Agencies,Gonzella Adult Care,1155 South 15Th Street,Louisville,KY,40210,6146195175,Sylvester Monroe,Gonzella Adult Care,500371,Pending Renewal,N/A,-85.77821331,38.23714649
2312,Personal Services Agencies,"Good Morning Home Care, Llc",7708 Crestline Road,Louisville,KY,40214,5022872556,Kay Rasho,"Good Morning Home Care, Llc",500366,Pending Renewal,N/A,-85.79169109,38.1390685
2313,Personal Services Agencies,"Grace Home Care, Inc",7721 Wood Duck Way,Louisville,KY,40218,5027854123,Chandra Kharel,"Grace Home Care, Inc.",500281,Pending Renewal,N/A,-85.63279895,38.17460351
2314,Personal Services Agencies,Granny Nannies,"2028 South Highway 53, Suite 3 #254",La Grange,KY,40031,5024549134,Margaret Spooner,Tbc Enterprises Llc,500221,02/28/2026,N/A,-85.36669986,38.39456402
2315,Personal Services Agencies,Granny Nannies Of Kentucky,"3044 Breckenridge Lane, Suite #101",Louisville,KY,40220,5024549134,Stephanie Riggle,"Dsr Ventures, Llc",500097,01/31/2026,N/A,-85.62751861,38.21451957
2316,Personal Services Agencies,Greater Cincinnati Home Care Services,"661 Mission Drive, #608",Florence,KY,41042,8596473009,Hassan Shide,Greater Cincinnati Home Care Services,500301,Pending Renewal,N/A,-84.63885985,38.96994724
2317,Personal Services Agencies,Green Leaves Hca,129 St Matthews Ave Suite C,Louisville,KY,40207,5024562273,Sharon Ernst,"All Best Home Care, Llc",500349,Pending Renewal,N/A,-85.65230067,38.25421727
2318,Personal Services Agencies,Griggs Fhp,451 Logston Lane,Berea,KY,40403,6063089255,Daniel Griggs,"Griggs, Daniel",500141,Pending Renewal,N/A,-84.2869822,37.55687537
2319,Personal Services Agencies,"Hadley Home Care, Llc",414 West Stockton Street,Edmonton,KY,42129,2705902000,Lisa Gearlds,"Hadley Home Care, Llc",500332,10/31/2025,N/A,-85.61653021,36.9798286
2320,Personal Services Agencies,"Harbor House Home Sweet Home, Inc",2231 Lower Hunters Trace,Louisville,KY,40216,5027190072,Maria Smith,"Harbor House Home Sweet Home, Inc.",500208,Pending Renewal,N/A,-85.84975289,38.15891872
2321,Personal Services Agencies,"Harlan County Committee On Aging, Inc",105 North Cumberland Avenue,Harlan,KY,40831,6065733496,Jenell Spurlock,"Harlan County Committee On Aging, Inc.",500006,12/31/2025,N/A,-83.32379341,36.84715316
2322,Personal Services Agencies,Harrison County Senior Citizens Center,216 Old Lair Road,Cynthiana,KY,41031,8592345801,Robin Florence,"Harrison County Commission On Aging, Inc.",500054,12/31/2025,N/A,-84.28903801,38.38486487
2323,Personal Services Agencies,Hearts Of Inspiration,4913 Garden Green Way,Louisville,KY,40218,5025108228,Jameelia Masden,"Hearts Of Inspiration, Llc",500378,Pending Renewal,N/A,-85.66851517,38.17465179
2324,Personal Services Agencies,"Heaven Sent Care, Llc","1419 Alexandria Pike, Suite B",Fort Thomas,KY,41075,5139079007,Julie Finn,"Heaven Sent Care, Llc",500298,Pending Renewal,N/A,-84.44945577,39.05465845
2325,Personal Services Agencies,"Heaven'S Halo, Llc","102 Manor Ave, Suite 201",Bardstown,KY,40004,5023484739,Tabitha Burns,"Heaven'S Halo, Llc",500384,03/31/2026,N/A,-85.42839066,37.79601955
2326,Personal Services Agencies,Heavenly Care Innovations,945 Village Green Ave. ,Lexington,KY,40509,8593531452,Paikita Jackson,"Heavenly Care Innovations, Llc",500405,Pending Renewal,N/A,-84.42849017,38.0229429
2327,Personal Services Agencies,Helping Hands Companion Care Services,"2301 Hurstbourne Village Drive, #100",Louisville,KY,40299,5024269783,Terry Graham,"Angels 2 You, Inc.",500020,12/31/2025,N/A,-85.5787505,38.21655644
2328,Personal Services Agencies,"Helping Hands Nky, Llc","73 Cavalier Blvd, Suite 305",Florence,KY,41042,8593340810,David Sarker,"Helping Hands Nky, Llc",500166,07/31/2026,N/A,-84.63410375,39.00855987
2329,Personal Services Agencies,"Helping Hands Personal Care, Llc",7238 West Highway 80,Nancy,KY,42544,6066364400,Steward Framer,"Helping Hands Personal Care, Llc",500115,Pending Renewal,N/A,-84.71110129,37.05435693
2330,Personal Services Agencies,"Helping Hearts Personal Care Services, Llc",207 W Main Street,Morganfield,KY,42437,2708941202,Deandrea Hill,Helping Hearts Personal Care Services Llc,500440,10/31/2025,N/A,-87.91756856,37.68434136
2331,Personal Services Agencies,"Heritage Home And Day Healthcare, Llc",1517 Crums Lane,Louisville,KY,40216,5022084800,Eva Stansbury,"Heritage Home And Day Healthcare, Llc",500393,06/30/2026,N/A,-85.8016496,38.189293
2332,Personal Services Agencies,Home 1St Care,5923 Grandel Meadow Court,Louisville,KY,40258,5027977864,Lashonda Douglas,"Vitality Holding, Llc",500213,Pending Renewal,N/A,-85.86149908,38.15748258
2333,Personal Services Agencies,Home Helpers #57915,8325 Camp Ernst Road,Burlington,KY,41005,8598011510,George Ramage,"Everyone'S Angels, Llc",500093,12/31/2025,N/A,-84.71918669,38.98137992
2334,Personal Services Agencies,Home Helpers & Direct Link #58853,84 Industry Drive,London,KY,40744,6066579441,Wayne Gentry,T & W Enterprises Corporation,500255,05/31/2026,N/A,-84.06395169,37.10198143
2335,Personal Services Agencies,Home Helpers And Direct Link,"1795 Alysheba Way, Suite 4107",Lexington,KY,40509,8597973127,Steven Garrison,"Garrison Group, Llc",500195,01/31/2026,N/A,-84.42179205,38.01659987
2336,Personal Services Agencies,Home Helpers Home Care #58600,"8401 Shelbyville Road, Suite 212",Louisville,KY,40214,5023844357,Shameka Wright,"R&R Home Care, Llc",500143,11/30/2025,N/A,-85.5987523,38.24836003
2337,Personal Services Agencies,Home Helpers Home Care Of Ashland & Portsmouth,237 Gleim Road,Wheelersburg,KY,45694,7409615551,Scott May,May Outlay Llc,500429,04/30/2026,N/A,-82.84914053,38.71387775
2338,Personal Services Agencies,Home Helpers Home Care Of Shepherdsville,855 Heritage Way,Mount Washington,KY,40047,5022215657,Jordan French,"Sego Care & Services, Llc",500462,07/31/2026,N/A,-85.56939438,38.04513615
2339,Personal Services Agencies,Home Instead Louisville,"4101 Taylorsville Road, Suite 200",Louisville,KY,40220,5025159515,Tracy Ames,Hc Midco Xxi Llc,500047,03/31/2026,N/A,-85.62056952,38.21963303
2340,Personal Services Agencies,Home Instead Louisville 2,"5223 Dixie Highway, Suite 200",Louisville,KY,40216,5025159515,Tracy Ames,Hc378,500377,11/30/2025,N/A,-85.83143121,38.16251113
2341,Personal Services Agencies,Home Instead Senior Care,"224 Grandview Drive, Suite 100",Fort Mitchell,KY,41017,8592828682,Eric Schuermann,"Northern Kentucky Home Health Care, Llc",500039,11/30/2025,N/A,-84.56519736,39.05180347
2342,Personal Services Agencies,Home Instead Senior Care - Lexington,"2432 Regency Rd, Suite 150",Lexington,KY,40503,8592730085,Brent Stephens,"Able 2, Inc.",500045,12/31/2025,N/A,-84.52506189,38.00381938
2343,Personal Services Agencies,Home Instead-Ky,"1861 Westen Street, Suite A",Bowling Green,KY,42104,2708427540,Benjamin Roach,"Wcsc Kentucky, Llc",500035,05/31/2026,N/A,-86.45133949,36.96068306
2344,Personal Services Agencies,Home Instead-Ky,111 St James Court Suite A1,Frankfort,KY,40601,5023527272,Jordan Fincher,"Wcsc Kentucky, Llc",500030,05/31/2026,N/A,-84.89326886,38.15104514
2345,Personal Services Agencies,Home Matters Caregiving 005,6805 Sorrel Lane,Cincinnati,KY,45243,5133682142,Carlee Clark,"Pierce Unit 1, Llc",500390,04/30/2026,N/A,-84.37132703,39.16425001
2346,Personal Services Agencies,Home Sweet Home Care,"200 North Main Street, Suite 2",Beaver Dam,KY,42320,2709774663,Kyle Martin,"Tkm Enterprises, Llc",500245,01/31/2026,N/A,-86.87604731,37.4030834
2347,Personal Services Agencies,Homewatch Caregivers Of Louisville,"2001 Stanley Gault Parkway, Suite C",Louisville,KY,40223,5022441212,Steve Kochersperger,"Ninety Seventeen, Inc.",500173,Pending Renewal,N/A,-85.51105588,38.2680076
2348,Personal Services Agencies,Homewatch Caregivers Of Northern Kentucky,"71 Cavalier Boulevard, Suite 216",Florence,KY,41042,8593721200,Stacey Thornberry,"Thornberry Holdings, Llc",500354,Pending Renewal,N/A,-84.63402197,39.00861386
2349,Personal Services Agencies,Homewell Care Services,141 N. Eagle Creek Dr. Suite 103 ,Lexington,KY,40509,8593036018,Dolores Polito,"Metaphor For Life, Llc",500342,04/30/2026,N/A,-84.44068186,38.00006747
2350,Personal Services Agencies,Honor Care Services Kentucky,828 Lane Allen Road Suite 219,Lexington,KY,40504,4024984466,Tabitha Armenta,"Honor Technology, Inc.",500435,Pending Renewal,N/A,-84.54141784,38.03011584
2351,Personal Services Agencies,"Humanity Home Care, Llc",13303 Tucker Lake Drive,Louisville,KY,40299,5025510398,Kado Muragwa,"Humanity Home Care, Llc",500450,03/31/2026,N/A,-85.52194491,38.19653543
2352,Personal Services Agencies,In Touch Home Care Solutions,1273 Glengary Way,Henderson,KY,42420,3179375599,Ashley Farris,"In Touch Home Care Solutions, Llc",500457,04/30/2026,N/A,-87.55458431,37.85936533
2353,Personal Services Agencies,Independence Assistance Services Of The Bluegrass,"343 Waller Avenue, Suite 305",Lexington,KY,40504,8593034040,Clelland Gash,"Independence Assistance Srvcs Of The Bluegrass,Llc",500194,07/31/2026,N/A,-84.51765629,38.02976762
2354,Personal Services Agencies,"Independence Care Of Kentucky At Louisville, Llc",10200 Forest Green Boulevard Ste 112,Louisville,KY,40223,5016130163,Hannah Klewin,"Independence Care Of Kentucky At Louisville, Llc",500363,Pending Renewal,N/A,-85.56900995,38.26306326
2355,Personal Services Agencies,"Independence Pal, Llc",4761 Windstar Way,Lexington,KY,40515,8595361820,Stacie Walls,"Indepndence Pal, Llc",500296,Pending Renewal,N/A,-84.51352978,37.95737648
2356,Personal Services Agencies,Inspire Home Health Care Services Inc,11725 Beacon Ct,Louisville,KY,40299,5025764242,Nilhari Bhandari,Inspire Home Health Care Services Inc,500432,Pending Renewal,N/A,-85.5569494,38.147655
2357,Personal Services Agencies,Interim Healthcare Homestyle Services,"3005 Dixie Highway, Suite 130",Edgewood,KY,41017,8595789191,Stephanie Young,"Interim Healthcare Of Cincinnati, Inc.",500197,Pending Renewal,N/A,-84.58432512,39.02356894
2358,Personal Services Agencies,Interim Healthcare Of Louisville,"10610 Watterson Center Court, Suite 202",Louisville,KY,40299,5024422480,Lloyd Ford,"Mfg Healthcare Partners, Inc",500270,Pending Renewal,N/A,-85.56225867,38.19630658
2359,Personal Services Agencies,"Jackson County Senior Center, Inc",1035 Mccammon Ridge Road,Mc Kee,KY,40447,6062873659,Annette Deaton,"Jackson County Senior Center, Inc.",500043,Pending Renewal,N/A,-83.97368509,37.42227936
